Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_Ctr_T_40_01_03	R2A_R11G_P_C_T_40_01	3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6177	45571	0	48652	42490	0	6162	27431	26834	0	597	56.38	63.15	NaN	9.69	13669	885372	36647	4.14	5846	15.95	120160	31914	31499	26.56	29.42	7185	22.51	+	0.43838	0.63451	0.2914	0.44616	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_Ctr_T_40_01_04	R2A_R11G_P_C_T_40_01	4	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6304	44837	0	47771	41903	0	5868	23195	22780	0	415	48.55	54.36	NaN	7.07	10771	869883	35973	4.14	5867	16.31	115968	31344	30901	27.03	30.56	7188	22.93	+	0.4241	0.6091	0.28097	0.42629	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_Ctr_T_40_02_01	R2A_R11G_P_C_T_40_02	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6256	44839	0	46732	42946	0	3786	32178	31566	0	612	68.86	73.5	NaN	16.16	19860	1017118	37493	3.69	5585	14.9	147111	34056	33755	23.15	25.54	6852	20.12	+	0.41765	0.61656	0.27707	0.4293	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_Ctr_T_40_02_02	R2A_R11G_P_C_T_40_02	2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6192	45382	0	47659	43105	0	4554	31735	31132	0	603	66.59	72.22	NaN	13.24	17678	981094	37192	3.79	5675	15.26	140002	33216	32866	23.73	26.12	7021	21.14	+	0.43065	0.62367	0.28582	0.43332	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_Ctr_T_40_02_03	R2A_R11G_P_C_T_40_02	3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6187	45530	0	48427	42633	0	5794	28484	27846	0	638	58.82	65.32	NaN	11.01	14196	912274	36579	4.01	5871	16.05	125557	32003	31625	25.49	28.28	7200	22.5	+	0.43854	0.63194	0.29244	0.44286	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_Ctr_T_40_02_04	R2A_R11G_P_C_T_40_02	4	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6336	44651	0	47591	41711	0	5880	22813	22414	0	399	47.94	53.74	NaN	6.79	10594	866351	35789	4.13	5783	16.16	114558	31153	30707	27.19	30.77	7114	22.84	+	0.42358	0.61384	0.28086	0.4282	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_Ctr_T_40_03_01	R2A_R11G_P_C_T_40_03	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6255	44832	0	46810	42854	0	3956	31977	31403	0	574	68.31	73.28	NaN	14.51	19848	1031930	37628	3.65	5439	14.45	148462	34115	33818	22.98	25.33	6764	19.83	+	0.4188	0.60933	0.27633	0.41884	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_Ctr_T_40_03_02	R2A_R11G_P_C_T_40_03	2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6230	45279	0	47588	42970	0	4618	31840	31231	0	609	66.91	72.68	NaN	13.19	17467	978720	37058	3.79	5617	15.16	138672	33082	32742	23.86	26.29	6907	20.88	+	0.43229	0.63158	0.28512	0.4321	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_Ctr_T_40_03_03	R2A_R11G_P_C_T_40_03	3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6195	45526	0	48547	42505	0	6042	27973	27373	0	600	57.62	64.4	NaN	9.93	13704	884427	36590	4.14	5790	15.82	121140	31827	31461	26.27	29.13	7200	22.62	+	0.44161	0.63667	0.29367	0.44715	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_Ctr_T_40_03_04	R2A_R11G_P_C_T_40_03	4	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6331	44747	0	47659	41835	0	5824	23119	22716	0	403	48.51	54.3	NaN	6.92	10540	868142	35625	4.1	5808	16.3	115517	31152	30705	26.97	30.6	7096	22.78	+	0.42313	0.61105	0.27951	0.42605	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_F10_A_40_01_01	R2A_R11G_P_F_A_40_01	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6301	44666	0	48072	41260	0	6812	20124	19741	0	383	41.86	47.85	NaN	5.62	13148	857382	35688	4.16	6507	18.23	116687	30798	29958	26.39	30.12	7913	25.69	+	0.40384	0.59282	0.24941	0.37401	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_F10_A_40_01_02	R2A_R11G_P_F_A_40_01	2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6286	44704	0	47910	41498	0	6412	23144	22741	0	403	48.31	54.8	NaN	6.29	12822	951052	35084	3.69	6395	18.23	123220	30404	29959	24.67	28.15	7710	25.36	+	0.40499	0.5916	0.25874	0.39236	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_F10_A_40_01_03	R2A_R11G_P_F_A_40_01	3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6400	44247	0	47917	40577	0	7340	19148	18838	0	310	39.96	46.43	NaN	4.22	10037	880494	34530	3.92	6290	18.22	111128	29199	28767	26.28	30.43	7756	26.56	+	0.41849	0.59564	0.26978	0.40614	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_F10_A_40_01_04	R2A_R11G_P_F_A_40_01	4	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6539	43577	0	48069	39085	0	8984	14110	13815	0	295	29.35	35.35	NaN	3.28	7427	839569	33837	4.03	6133	18.13	103680	27952	27485	26.96	31.54	7528	26.93	+	0.38989	0.5538	0.24579	0.36684	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_F10_A_40_02_01	R2A_R11G_P_F_A_40_02	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6298	44562	0	47087	42037	0	5050	27649	27207	0	442	58.72	64.72	NaN	8.75	17696	956114	36651	3.83	5890	16.07	130226	32451	32069	24.92	28.06	7393	22.78	+	0.40273	0.59992	0.25747	0.39485	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_F10_A_40_02_02	R2A_R11G_P_F_A_40_02	2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6361	44318	0	46913	41723	0	5190	25856	25421	0	435	55.11	60.93	NaN	8.38	14844	940876	35587	3.78	6138	17.25	126279	31213	30823	24.72	28.06	7547	24.18	+	0.40405	0.58741	0.25857	0.39044	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_F10_A_40_02_03	R2A_R11G_P_F_A_40_02	3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6429	44124	0	47118	41130	0	5988	22042	21606	0	436	46.78	52.53	NaN	7.28	11639	895286	34944	3.9	6172	17.66	116026	29985	29590	25.84	29.49	7686	25.63	+	0.42594	0.61147	0.27544	0.41551	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_F10_A_40_02_04	R2A_R11G_P_F_A_40_02	4	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6491	43829	0	47807	39851	0	7956	14632	14483	0	149	30.61	36.34	NaN	1.87	7823	803844	33938	4.22	6222	18.33	101368	28261	27793	27.88	32.06	7589	26.85	+	0.41573	0.59361	0.26434	0.40745	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_F10_A_40_03_01	R2A_R11G_P_F_A_40_03	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6312	44465	0	47242	41688	0	5554	26338	25875	0	463	55.75	62.07	NaN	8.34	16940	963940	36719	3.81	5795	15.78	128644	32240	31847	25.06	28.38	7282	22.59	+	0.39733	0.58964	0.25527	0.39359	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_F10_A_40_03_02	R2A_R11G_P_F_A_40_03	2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6482	43655	0	46459	40851	0	5608	23395	23072	0	323	50.36	56.48	NaN	5.76	13544	858252	34971	4.07	6103	17.45	114514	30379	29999	26.53	30.05	7511	24.72	+	0.38177	0.55874	0.24328	0.36941	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_F10_A_40_03_03	R2A_R11G_P_F_A_40_03	3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6665	42811	0	46408	39214	0	7194	17553	17256	0	297	37.82	44	NaN	4.13	9425	826891	33712	4.08	6008	17.82	105346	28356	27953	26.92	30.94	7395	26.08	+	0.40787	0.58602	0.26442	0.40285	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_F10_A_40_03_04	R2A_R11G_P_F_A_40_03	4	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		7142	40698	0	44031	37365	0	6666	12225	12029	0	196	27.76	32.19	NaN	2.94	6820	840237	32014	3.81	5736	17.92	100101	26995	26609	26.97	31.53	7069	26.19	+	0.38517	0.55341	0.24789	0.37762	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_F10_T_40_01_01	R2A_R11G_P_F_T_40_01	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6264	44621	0	46618	42624	0	3994	29963	29524	0	439	64.27	69.27	NaN	10.99	18525	991866	37258	3.76	5645	15.15	139601	33523	33197	24.01	26.62	7109	21.21	+	0.40351	0.59831	0.26637	0.41297	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_F10_T_40_01_02	R2A_R11G_P_F_T_40_01	2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6156	45660	0	48171	43149	0	5022	31906	31306	0	600	66.23	72.55	NaN	11.95	17492	982806	37221	3.79	5767	15.49	140529	33067	32729	23.53	25.94	7132	21.57	+	0.4273	0.61919	0.28365	0.4279	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_F10_T_40_01_03	R2A_R11G_P_F_T_40_01	3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6172	45656	0	48685	42627	0	6058	28353	27755	0	598	58.24	65.11	NaN	9.87	13906	895703	36425	4.07	6009	16.5	123496	31769	31347	25.72	28.62	7355	23.15	+	0.43786	0.63358	0.29235	0.44613	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_F10_T_40_01_04	R2A_R11G_P_F_T_40_01	4	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6396	44406	0	47440	41372	0	6068	22328	22020	0	308	47.07	53.22	NaN	5.08	10237	837883	35256	4.21	6037	17.12	112230	30565	30105	27.23	30.93	7340	24.01	+	0.41829	0.604	0.27478	0.42091	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_F10_T_40_02_01	R2A_R11G_P_F_T_40_02	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6280	44644	0	46691	42597	0	4094	30594	30042	0	552	65.52	70.53	NaN	13.48	18704	993873	37028	3.73	5740	15.5	141442	33409	33105	23.62	26.24	7075	21.18	+	0.40738	0.60023	0.26688	0.41048	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_F10_T_40_02_02	R2A_R11G_P_F_T_40_02	2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6153	45621	0	48089	43153	0	4936	31979	31407	0	572	66.5	72.78	NaN	11.59	17850	981241	37312	3.8	5777	15.48	140883	33251	32882	23.6	25.93	7073	21.27	+	0.42833	0.62147	0.28166	0.42716	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_F10_T_40_02_03	R2A_R11G_P_F_T_40_02	3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6195	45580	0	48619	42541	0	6078	28855	28230	0	625	59.35	66.36	NaN	10.28	14008	889072	36489	4.1	5910	16.2	122868	31789	31414	25.87	28.62	7253	22.82	+	0.43893	0.63555	0.29343	0.44458	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_F10_T_40_02_04	R2A_R11G_P_F_T_40_02	4	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6351	44658	0	47517	41799	0	5718	23627	23204	0	423	49.72	55.51	NaN	7.4	10960	884764	35696	4.03	5827	16.32	118449	31225	30803	26.36	29.83	7147	22.89	+	0.41961	0.60554	0.2722	0.41423	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_F10_T_40_03_01	R2A_R11G_P_F_T_40_03	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6245	44990	0	46925	43055	0	3870	32763	32118	0	645	69.82	74.6	NaN	16.67	19917	1075644	37734	3.51	5508	14.6	155662	34196	33888	21.97	24.32	6833	19.98	+	0.41804	0.61595	0.27641	0.42279	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_F10_T_40_03_02	R2A_R11G_P_F_T_40_03	2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6180	45527	0	47728	43326	0	4402	32346	31777	0	569	67.77	73.34	NaN	12.93	17969	1003293	37434	3.73	5624	15.02	144901	33545	33165	23.15	25.56	6880	20.51	+	0.42582	0.62031	0.28179	0.42611	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_F10_T_40_03_03	R2A_R11G_P_F_T_40_03	3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6243	45225	0	48241	42209	0	6032	27749	27192	0	557	57.52	64.42	NaN	9.23	13980	873511	36247	4.15	5926	16.35	122251	31639	31272	25.88	28.72	7254	22.93	+	0.43673	0.62599	0.28861	0.43825	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_inGel_F10_T_40_03_04	R2A_R11G_P_F_T_40_03	4	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Deamidation (NQ)	Carbamidomethyl (C)			False	True	1	2		Standard		6353	44438	0	47118	41758	0	5360	23049	22722	0	327	48.92	54.41	NaN	6.1	10957	861635	35748	4.15	5840	16.34	117004	31388	30880	26.83	30.39	7166	22.83	+	0.4154	0.59827	0.27421	0.41843	
20191129_CF_MPS_HeLaStable_HA-R2b_A2_R11_GFP_STY_Ctr_A_40_01_01	R2A_R11G_Ph_C_A_40_01	6	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Biotin;Gln->pyro-Glu;Phospho (STY)	Carbamidomethyl (C)			False	True	1	2		Standard		8606	17156	0	19675	14637	0	5038	2901	2883	0	18	14.74	19.7	NaN	0.36	1367	933489	13171	1.41	2360	17.92	65606	10184	9885	15.52	22.16	2962	29.08	+	0.25735	0.37504	0.19141	0.29312	
